success_rate,n_total_points,n_valid_points,n_satisfactory_points,iteration
0.005517241379310344,9501,1450,8,0
0.005517241379310344,9502,1450,8,1
0.005517241379310344,9503,1450,8,2
0.005517241379310344,9504,1450,8,3
0.005517241379310344,9505,1450,8,4
0.005517241379310344,9506,1450,8,5
0.005517241379310344,9507,1450,8,6
0.005517241379310344,9508,1450,8,7
0.005513439007580979,9509,1451,8,8
0.005513439007580979,9510,1451,8,9
0.005513439007580979,9511,1451,8,10
0.005513439007580979,9512,1451,8,11
0.005513439007580979,9513,1451,8,12
0.005513439007580979,9514,1451,8,13
0.005513439007580979,9515,1451,8,14
0.005513439007580979,9516,1451,8,15
0.005513439007580979,9517,1451,8,16
0.005509641873278237,9518,1452,8,17
0.0055058499655884375,9519,1453,8,18
0.005502063273727648,9520,1454,8,19
0.005502063273727648,9521,1454,8,20
0.005502063273727648,9522,1454,8,21
0.005502063273727648,9523,1454,8,22
0.005498281786941581,9524,1455,8,23
0.005498281786941581,9525,1455,8,24
0.005498281786941581,9526,1455,8,25
0.005498281786941581,9527,1455,8,26
0.005494505494505495,9528,1456,8,27
0.005494505494505495,9529,1456,8,28
0.005494505494505495,9530,1456,8,29
0.00549073438572409,9531,1457,8,30
0.00549073438572409,9532,1457,8,31
0.00549073438572409,9533,1457,8,32
0.00549073438572409,9534,1457,8,33
0.00549073438572409,9535,1457,8,34
0.00549073438572409,9536,1457,8,35
0.00549073438572409,9537,1457,8,36
0.0054869684499314125,9538,1458,8,37
0.0054832076764907475,9539,1459,8,38
0.0054832076764907475,9540,1459,8,39
0.0054832076764907475,9541,1459,8,40
0.0054832076764907475,9542,1459,8,41
0.0054832076764907475,9543,1459,8,42
0.0054832076764907475,9544,1459,8,43
0.0054832076764907475,9545,1459,8,44
0.0054832076764907475,9546,1459,8,45
0.0054832076764907475,9547,1459,8,46
0.0054832076764907475,9548,1459,8,47
0.0054832076764907475,9549,1459,8,48
0.0054832076764907475,9550,1459,8,49
0.0054832076764907475,9551,1459,8,50
0.0054832076764907475,9552,1459,8,51
0.0054832076764907475,9553,1459,8,52
0.005479452054794521,9554,1460,8,53
0.005479452054794521,9555,1460,8,54
0.005479452054794521,9556,1460,8,55
0.005479452054794521,9557,1460,8,56
0.005479452054794521,9558,1460,8,57
0.005479452054794521,9559,1460,8,58
0.005479452054794521,9560,1460,8,59
0.0054757015742642025,9561,1461,8,60
0.0054757015742642025,9562,1461,8,61
0.0054757015742642025,9563,1461,8,62
0.0054757015742642025,9564,1461,8,63
0.0054757015742642025,9565,1461,8,64
0.0054757015742642025,9566,1461,8,65
0.005471956224350205,9567,1462,8,66
0.005468215994531784,9568,1463,8,67
0.005468215994531784,9569,1463,8,68
0.00546448087431694,9570,1464,8,69
0.00546448087431694,9571,1464,8,70
0.00546448087431694,9572,1464,8,71
0.005460750853242321,9573,1465,8,72
0.005460750853242321,9574,1465,8,73
0.005460750853242321,9575,1465,8,74
0.005460750853242321,9576,1465,8,75
0.005460750853242321,9577,1465,8,76
0.005460750853242321,9578,1465,8,77
0.005460750853242321,9579,1465,8,78
0.005460750853242321,9580,1465,8,79
0.005460750853242321,9581,1465,8,80
0.005460750853242321,9582,1465,8,81
0.005457025920873124,9583,1466,8,82
0.0054533060668029995,9584,1467,8,83
0.0054533060668029995,9585,1467,8,84
0.005449591280653951,9586,1468,8,85
0.005445881552076242,9587,1469,8,86
0.005442176870748299,9588,1470,8,87
0.005442176870748299,9589,1470,8,88
0.005442176870748299,9590,1470,8,89
0.005442176870748299,9591,1470,8,90
0.005438477226376614,9592,1471,8,91
0.005438477226376614,9593,1471,8,92
0.005438477226376614,9594,1471,8,93
0.005438477226376614,9595,1471,8,94
0.005438477226376614,9596,1471,8,95
0.005434782608695652,9597,1472,8,96
0.005434782608695652,9598,1472,8,97
0.005431093007467753,9599,1473,8,98
0.005431093007467753,9600,1473,8,99
0.005427408412483039,9601,1474,8,100
0.005427408412483039,9602,1474,8,101
0.005427408412483039,9603,1474,8,102
0.005427408412483039,9604,1474,8,103
0.005427408412483039,9605,1474,8,104
0.005427408412483039,9606,1474,8,105
0.005427408412483039,9607,1474,8,106
0.005427408412483039,9608,1474,8,107
0.005423728813559322,9609,1475,8,108
0.005423728813559322,9610,1475,8,109
0.005420054200542005,9611,1476,8,110
0.005420054200542005,9612,1476,8,111
0.005420054200542005,9613,1476,8,112
0.005416384563303994,9614,1477,8,113
0.005416384563303994,9615,1477,8,114
0.005416384563303994,9616,1477,8,115
0.005416384563303994,9617,1477,8,116
0.005412719891745603,9618,1478,8,117
0.005412719891745603,9619,1478,8,118
0.005412719891745603,9620,1478,8,119
0.005409060175794456,9621,1479,8,120
0.005409060175794456,9622,1479,8,121
0.005409060175794456,9623,1479,8,122
0.005409060175794456,9624,1479,8,123
0.005409060175794456,9625,1479,8,124
0.005409060175794456,9626,1479,8,125
0.005405405405405406,9627,1480,8,126
0.0054017555705604325,9628,1481,8,127
0.0054017555705604325,9629,1481,8,128
0.0054017555705604325,9630,1481,8,129
0.0054017555705604325,9631,1481,8,130
0.0054017555705604325,9632,1481,8,131
0.005398110661268556,9633,1482,8,132
0.005398110661268556,9634,1482,8,133
0.005398110661268556,9635,1482,8,134
0.005398110661268556,9636,1482,8,135
0.005398110661268556,9637,1482,8,136
0.005394470667565745,9638,1483,8,137
0.005394470667565745,9639,1483,8,138
0.005394470667565745,9640,1483,8,139
0.005394470667565745,9641,1483,8,140
0.005394470667565745,9642,1483,8,141
0.005394470667565745,9643,1483,8,142
0.005390835579514825,9644,1484,8,143
